rank	word	reading	pos	meaning	example	translation
244	夢	ゆめ	noun	dream	夢に欠けている主な事は首尾一貫性である。	The main thing that dreams lack is consistency.
245	大変	たいへん	adverb	very; greatly; terribly	彼女は昨夜大変遅く私に電話を掛けてきた。	She called me up very late last night.
246	完全	かんぜん	na-adjective	perfect; complete	完全な宗教の自由が万人に保証されている。	Full religious freedom is assured to all people.
247	技術	ぎじゅつ	noun	technology; engineering	特別な技術を持つ人は簡単に職を得られる。	Persons with special skills can easily get jobs.
248	特に	とくに	adverb	particularly; especially; in particular	その会は特に出席がよいわけではなかった。	The meeting was not particularly well attended.
249	研究	けんきゅう	noun	research; study; investigation	彼女は文学研究の目的でイタリアへ行った。	She went to Italy in order to study literature.
250	説明	せつめい	noun	explanation; exposition; description	旅行で使ったお金、全部説明がつきますか。	Can you account for all the money you spent on your trip?
251	せい	せい	noun	consequence; outcome; result	貧乏のせいで彼は盗みを働くようになった。	Poverty drove him to steal.
252	そういう	そういう	adjective	such; like that; that sort of	本当の科学者ならそういう風には考えない。	A true scientist would not think like that.
253	式	しき	noun	way; style; fashion	生徒会は卒業式の計画について話し合った。	The student council discussed plans for the graduation.
254	発表	はっぴょう	noun	announcement; publication; presenting	彼女は弁護士の友人との婚約を発表をした。	She announced her engagement to her lawyer friend.
255	道	みち	noun	road; path; street	北海道には長くてまっすぐな道が多いんだ。	There are a lot of long and straight roads in Hokkaido.
256	振り	ふり	noun	swing; shake; sweep	彼女は眠っている振りをしていただけだった。	She was only pretending to be asleep.
257	お金	おかね	noun	money	旅行で使ったお金、全部説明がつきますか。	Can you account for all the money you spent on your trip?
258	たくさん	たくさん	adjective	a lot; lots; plenty	話し合わねばならないことがたくさんある。	We have a lot of ground to cover.
259	もちろん	もちろん	adverb	of course; certainly; naturally	彼は私たちに着物はもちろんお金もくれた。	He gave us not only clothes but some money.
260	イベント	いべんと	noun	event	同様に振る舞う他のイベントでも結構です。	Another event that has the same behaviour would also be fine.
261	システム	しすてむ	noun	system	そのシステムは現在とてもうまく動いている。	The system is working very well now.
262	一般	いっぱん	adjective	general; universal	政府が住民に問う一般投票を実施しました。	The government put the question to the people in a referendum.
263	件	けん	noun	matter; affair; case	ちょうどその時、件の二人が登校してきた。	Just then the two in question arrived at school.
264	攻撃	こうげき	noun	attack; assault; raid	私たちは彼を攻撃する気持ちはありません。	We have no notion of attacking him.
265	無	む	noun	nothing; naught; nought	彼は昇進の機会を無にした。	He threw away his chance of promotion.
266	自身	じしん	noun	(one's) self; oneself; yourself	自分自身をつくっていくのは我々の能力だ。	It is our capacity to mold ourselves.
267	部分	ぶぶん	noun	portion; section; part	われわれの世界は宇宙の小部分にすぎない。	Our world is only a small part of the universe.
268	電話	でんわ	noun	telephone call; phone call	何時くらいまでなら電話してもいいですか。	How late can I ring?
269	ちゃんと	ちゃんと	adverb	diligently; seriously; earnestly	彼らはちゃんと面倒見てもらえるでしょう。	They will be taken good care of.
270	ニュース	にゅーす	noun	news	彼女はまだそのニュースを聞いてはいない。	She's not yet heard the news.
271	予定	よてい	noun	plans; arrangement; schedule	明日学校が休みなので遊びに行く予定です。	It's a school holiday tomorrow, so I'm planning to go somewhere and have fun.
272	全員	ぜんいん	noun	all members; all hands; everyone	全員がその単語を暗記しなければならない。	Everyone has to learn the word by heart.
273	口	くち	noun	mouth	彼女とは数年前から口をきく間柄ではない。	I have not been on speaking terms with her for a few years.
274	愛	あい	noun	love; affection; care	私は彼女の他の人々に対する愛に感動した。	I was moved by her love for other people.
275	戦争	せんそう	noun	war	本当の戦争はこの話よりもずっと恐ろしい。	The real war is much more horrible than this story.
276	明日	あした	noun	tomorrow	明日、友達がパーティーを開いてくれるの。	My friends will give me a party tomorrow.
277	登録	とうろく	noun	registration; accession; register	必ず本人が登録用紙に記入して下さい。	Be sure to fill out the registration form in person.
278	確か	たしか	na-adjective	sure; certain; positive	飛行機が時間通りにそこに着くのは確かだ。	It is certain that the plane will reach there on time.
279	紹介	しょうかい	noun	introduction; presentation; referral	彼女は私にその婦人を紹介してくれました。	She introduced the lady to me.
280	花	はな	noun	flower; blossom; bloom	私は花の展示会にバラを展示するつもりだ。	I'm going to exhibit my roses at the flower show.
281	いつ	いつ	pronoun	when; at what time; how soon	彼らの喧嘩がいつまで続くのか分からない。	There is no telling how long their quarrel will last.
282	号	ごう	noun	number; edition; make	あなたの定期購読予約は六月号で切れます。	Your subscription expires with the June issue.
283	機能	きのう	noun	function; facility; faculty	彼らは脳の機能について研究している。	They study about the function of the brain.
284	計画	けいかく	noun	plan; project; schedule	両親にあなたの計画を知らせてありますか。	Have you acquainted your parents with your plans?
285	設定	せってい	noun	establishment; creation; posing (a problem)	その庭園は日本式に設定されている。	The garden is laid out in the Japanese style.
