rank	word	reading	part_of_speech	meaning	example	translation
267	登場	とうじょう	noun	entrance (on the stage); appearance (in a book, film, etc.)	そこでベス下手より登場！	Now Beth enters, stage right!
268	販売	はんばい	noun	sale; sales; selling	その報告は販売に関しては思わしくない。	The report is not encouraging sales wise.
269	音	おと	noun	sound; noise	この音には全く我慢できません。	I can't stand all this noise.
270	みる	みる	verb	to see; to look; to watch	彼女を秘書として使ってみよう。	I'll try her out as a secretary.
271	ネット	ネット	noun	network	ネット経済は急進展している。	The net economy is booming.
272	全	ぜん	prefix	all; whole; entire	全学生はみんな図書館に入ることができる。	All students have access to the library.
273	出る	でる	verb	to leave; to exit; to go out	忙しいのでパーティーには出られません。	I'm so busy I can't attend the party.
274	夢	ゆめ	noun	dream	私の奇妙な夢を解釈して下さい。	Please interpret my strange dreams.
275	大変	たいへん	adverb	very; greatly; terribly	彼女について大変心配している。	I am very worried about her.
276	完全	かんぜん	na-adjective	perfect; complete	君の言うことはすべて完全に正しい。	All that you say is perfectly correct.
277	技術	ぎじゅつ	noun	technology; engineering	アメリカは宇宙技術において進んでいる。	America is ahead in space technology.
278	特に	とくに	adverb	particularly; especially; in particular	その件に関してはとくに意見はありません。	I really don't have an opinion about it.
279	研究	けんきゅう	noun	research; study; investigation	研究用として一部屋取っておいて。	Allocate a room for research purposes.
280	説明	せつめい	noun	explanation; exposition; description	彼の説明はあいまいすぎていて分からない。	His explanation is too obscure to understand.
281	せい	せい	noun	consequence; outcome; result	私の時計が５分遅れていたせいだった。	That was because my watch was five minutes slow.
282	そういう	そういう	adjective	such; like that; that sort of	そういう言い訳はとおらない。	That's no excuse.
283	式	しき	noun	way; style; fashion	式には出席するつもりですか。	Are you going to attend the ceremony?
284	発表	はっぴょう	noun	announcement; publication; presenting	大統領はその件について声明を発表した。	The president made a statement on the issue.
285	道	みち	noun	road; path; street	道を歩いているとき、その事故を見た。	Walking along the street, I saw the accident.
286	お金	おかね	noun	money	彼のお金は全部なくなっていた。	His money was all gone.
287	たくさん	たくさん	adjective	a lot; lots; plenty	分からない言葉がたくさんある。	There are many words that I don't understand.
288	もちろん	もちろん	adverb	of course; certainly; naturally	もちろん、じょうずに車を運転できます。	Of course I can drive a car very well.
289	イベント	イベント	noun	event	イベントを延期しました。	We postponed the event.
290	システム	システム	noun	system	そのシステムは現在とてもうまく動いている。	The system is working very well now.
291	一般	いっぱん	adjective	general; universal	私は日本人一般について言っているのだ。	I speak of the Japanese in general.
292	件	けん	noun	matter; affair; case	その件について調べてみましょう。	I will look into the matter.
293	攻撃	こうげき	noun	attack; assault; raid	敵はその建物に対して激しい攻撃をした。	The enemy made a strong attack on that building.
294	無	む	noun	nothing; naught; nought	無回答を拒否する。	Refuse to take no answer.
295	自身	じしん	noun	(one's) self; oneself; yourself	彼女自身悪くない。	She is not bad in herself.
296	部分	ぶぶん	noun	portion; section; part	その話の最も悲しい部分はまだ語られていない。	The saddest part of the story remains to be told.
297	電話	でんわ	noun	telephone call; phone call	落ち着いたら電話してください。	Call me when you get settled in.
298	ちゃんと	ちゃんと	adverb	diligently; seriously; earnestly	ちゃんと座ってろ。	Sit tight.
299	ニュース	ニュース	noun	news	そのニュースを聞いて泣きたくなった。	I felt like crying at the news.
300	予定	よてい	noun	plans; arrangement; schedule	ヒルサイドホテルに滞在する予定です。	I'm planning to stay at the Hillside Hotel.
301	全員	ぜんいん	noun	all members; all hands; everyone	明らかに全員出席しているように見えました。	It clearly looked as if everyone was present.
302	口	くち	noun	mouth	口自慢の仕事下手。	Great talkers are little doers.
303	愛	あい	noun	love; affection; care	私は彼女の他の人々に対する愛に感動した。	I was moved by her love for other people.
304	戦争	せんそう	noun	war	長かった戦争がやっと終わった。	The long war came to an end at last.
305	明日	あした	noun	tomorrow	明日帰ったら電話します。	I'll call them tomorrow when I come back.
306	登録	とうろく	noun	registration; accession; register	彼らは彼を陪審員として登録した。	They enrolled him as a jury member.
307	確か	たしか	na-adjective	sure; certain; positive	確かなことが一つある。	There is one thing that is certain.
308	紹介	しょうかい	noun	introduction; presentation; referral	紹介ありがとう。	Thank you for your referral.
309	花	はな	noun	flower; blossom; bloom	頼めば、その華はもらえる。	The flower is yours for the asking.
310	いつ	いつ	pronoun	when; at what time; how soon	車はいつ返したらよろしいでしょうか。	When should I return the car?
311	すべて	すべて	noun	everything; all; the whole	地上のすべての生物は互いに依存し合っている。	All living things on earth depend one another.
312	号	ごう	noun	number; edition; make	次のひかり号は９時１５分に到着する。	The next Hikari arrives at 9:15.
313	機能	きのう	noun	function; facility; faculty	このビデオは正しく機能しない。	This video recorder doesn't work right.
314	計画	けいかく	noun	plan; project; schedule	放課後、その計画について相談しよう。	Let's talk over the plan after school.
315	設定	せってい	noun	establishment; creation; posing (a problem)	設定料金に労務費用は含みません。	The stated price does not include labor charges.
316	調査	ちょうさ	noun	investigation; examination; inquiry	その問題をさらに調査しよう。	I'll check further into the matter.
