#separator:tab
#html:true
#columns:Point	PointRuby	Level	Meaning	Formation	Notes	Contrast	Examples	Tags
#tags column:9
〜てもいいです	〜てもいいです	N5	may ~ / it&#x27;s all right to ~	Verb て-form + もいい(です)	Grants permission; 〜てもいいですか asks for it.		<div class="ex"><div class="jp">ここに<ruby>座<rt>すわ</rt></ruby>ってもいいですか。</div><div class="en">May I sit here?</div></div><div class="ex"><div class="jp">あなたの<ruby>散歩<rt>さんぽ</rt></ruby>についていってもいいですか。</div><div class="en">May I accompany you on your walk?</div></div><div class="ex"><div class="jp">あなたもそろそろ<ruby>結婚<rt>けっこん</rt></ruby>してもいい<ruby>頃<rt>ころ</rt></ruby>ですよ。</div><div class="en">It is about time you married.</div></div><div class="ex"><div class="jp">この<ruby>建物<rt>たてもの</rt></ruby>の<ruby>中<rt>なか</rt></ruby>で<ruby>写真<rt>しゃしん</rt></ruby>を<ruby>撮<rt>と</rt></ruby>ってもいいですか？</div><div class="en">Is it all right to take pictures in this building?</div></div>	jlpt::N5
〜で (joining nouns / な-adjectives)	〜で (joining nouns / な-adjectives)	N5	~ and	Noun / な-adjective + で	The equivalent of くて for nouns and な-adjectives: 静かできれいです.		<div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>親切<rt>しんせつ</rt></ruby>で<ruby>有名<rt>ゆうめい</rt></ruby>です。</div><div class="en">He is kind and famous.</div></div>	jlpt::N5
〜で (means)	〜で (means)	N5	by / with / using	Noun + で	Marks the tool, method or transport used: バスで, はしで, 日本語で.		<div class="ex"><div class="jp">バスで<ruby>行<rt>い</rt></ruby>きます。</div><div class="en">I go by bus.</div></div><div class="ex"><div class="jp">ジョンは<ruby>彼<rt>かれ</rt></ruby>のオフィスへ<ruby>徒歩<rt>とほ</rt></ruby>で<ruby>行<rt>い</rt></ruby>きます。</div><div class="en">John goes to his office on foot.</div></div><div class="ex"><div class="jp"><ruby>万<rt>まん</rt></ruby><ruby>一<rt>いち</rt></ruby><ruby>車<rt>しゃ</rt></ruby>の<ruby>調子<rt>ちょうし</rt></ruby>が<ruby>悪<rt>わる</rt></ruby>かったら、バスで<ruby>行<rt>い</rt></ruby>きます。</div><div class="en">If something were wrong with my car, I&#x27;d go by bus.</div></div><div class="ex"><div class="jp"><ruby>歩<rt>ある</rt></ruby>きましょうか、それともバスで<ruby>行<rt>い</rt></ruby>きますか。</div><div class="en">Shall we walk or take the bus?</div></div>	jlpt::N5
〜で (place)	〜で (place)	N5	at / in (where an action happens)	Place + で + action verb	Marks where an action takes place. Compare に, which marks where something exists.		<div class="ex"><div class="jp"><ruby>図書館<rt>としょかん</rt></ruby>で<ruby>勉強<rt>べんきょう</rt></ruby>します。</div><div class="en">I study at the library.</div></div>	jlpt::N5
〜でした	〜でした	N5	was / were	Noun / な-adjective + でした	Polite past copula. Negative: 〜ではありませんでした.		<div class="ex"><div class="jp"><ruby>昨日<rt>きのう</rt></ruby>は<ruby>雨<rt>あめ</rt></ruby>でした。</div><div class="en">It was rainy yesterday.</div></div><div class="ex"><div class="jp">あなたにお<ruby>会<rt>あ</rt></ruby>いするとは<ruby>思<rt>おも</rt></ruby>いませんでした。</div><div class="en">I&#x27;m surprised to see you.</div></div><div class="ex"><div class="jp">あまりピアノは<ruby>上手<rt>じょうず</rt></ruby>ではありませんでした。</div><div class="en">She was not a very good pianist.</div></div><div class="ex"><div class="jp">ここ３０<ruby>年<rt>ねん</rt></ruby>で<ruby>一番<rt>いちばん</rt></ruby><ruby>雨<rt>あめ</rt></ruby>の<ruby>降<rt>ふ</rt></ruby>らない<ruby>６月<rt>ろくがつ</rt></ruby>でした。</div><div class="en">It has been the driest June for thirty years.</div></div>	jlpt::N5
〜でしょう	〜でしょう	N5	probably / right?	Plain form + でしょう	With falling intonation it is a guess; with rising intonation it seeks agreement.		<div class="ex"><div class="jp"><ruby>明日<rt>あした</rt></ruby>は<ruby>雨<rt>あめ</rt></ruby>でしょう。</div><div class="en">It will probably rain tomorrow.</div></div><div class="ex"><div class="jp">あきらめた<ruby>方<rt>ほう</rt></ruby>が<ruby>良<rt>よ</rt></ruby>いのではないでしょうか。</div><div class="en">You may as well give up.</div></div><div class="ex"><div class="jp">あそこに<ruby>大<rt>おお</rt></ruby>きな<ruby>白<rt>しろ</rt></ruby>いビルが<ruby>見<rt>み</rt></ruby>えるでしょう。</div><div class="en">Can you see the big white building over there?</div></div><div class="ex"><div class="jp">あなたが<ruby>英語<rt>えいご</rt></ruby>を<ruby>話<rt>はな</rt></ruby>すことは<ruby>難<rt>むずか</rt></ruby>しいでしょう。</div><div class="en">It will be hard for you to speak English.</div></div>	jlpt::N5
〜です	〜です	N5	is / are (polite statement)	Noun / な-adjective + です	The polite copula. Plain form is だ. Negative: 〜ではありません / 〜じゃないです.		<div class="ex"><div class="jp"><ruby>私<rt>わたし</rt></ruby>は<ruby>学生<rt>がくせい</rt></ruby>です。</div><div class="en">I am a student.</div></div>	jlpt::N5
〜ではありません	〜ではありません	N5	is not / are not	Noun / な-adjective + ではありません	Polite negative copula. じゃありません and じゃないです are the everyday spoken forms.		<div class="ex"><div class="jp">それは<ruby>私<rt>わたし</rt></ruby>の<ruby>本<rt>ほん</rt></ruby>ではありません。</div><div class="en">That is not my book.</div></div><div class="ex"><div class="jp">あまりピアノは<ruby>上手<rt>じょうず</rt></ruby>ではありませんでした。</div><div class="en">She was not a very good pianist.</div></div><div class="ex"><div class="jp">それはあなたの<ruby>知<rt>し</rt></ruby>ったことではありません。</div><div class="en">That&#x27;s none of your business.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>はあまり<ruby>疲<rt>つか</rt></ruby>れているようではありません。</div><div class="en">He does not seem to be very tired.</div></div>	jlpt::N5
〜でも	〜でも	N5	but / however (sentence-initial)	Sentence. でも + Sentence	Begins a new sentence with a contrast. Attached to a noun it instead means &quot;even ~&quot; or &quot;~ or something&quot;.		<div class="ex"><div class="jp"><ruby>疲<rt>つか</rt></ruby>れました。でも、<ruby>楽<rt>たの</rt></ruby>しかったです。</div><div class="en">I was tired. But it was fun.</div></div>	jlpt::N5
〜と (and)	〜と (and)	N5	and (exhaustive list of nouns)	Noun + と + Noun	Joins nouns only, and implies the list is complete. Use や for an incomplete list.		<div class="ex"><div class="jp">パンと<ruby>牛乳<rt>ぎゅうにゅう</rt></ruby>を<ruby>買<rt>か</rt></ruby>いました。</div><div class="en">I bought bread and milk.</div></div>	jlpt::N5
〜と (with)	〜と (with)	N5	together with	Person + と + verb	Marks the person you do something with. 一人で means alone.		<div class="ex"><div class="jp"><ruby>友達<rt>ともだち</rt></ruby>と<ruby>映画<rt>えいが</rt></ruby>を<ruby>見<rt>み</rt></ruby>ました。</div><div class="en">I watched a movie with a friend.</div></div><div class="ex"><div class="jp">そして、その<ruby>日<rt>ひ</rt></ruby><ruby>彼<rt>かれ</rt></ruby>らはイエスと<ruby>一緒<rt>いっしょ</rt></ruby>にいた。</div><div class="en">And spent that day with Him.</div></div><div class="ex"><div class="jp">もし<ruby>来<rt>き</rt></ruby>たければ、<ruby>私<rt>わたし</rt></ruby>たちと<ruby>一緒<rt>いっしょ</rt></ruby>にきなさい。</div><div class="en">If you care to, come with us.</div></div><div class="ex"><div class="jp"><ruby>今日<rt>きょう</rt></ruby>あなたと<ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>行<rt>い</rt></ruby>けるといいんですが。</div><div class="en">I wish I could go with you today.</div></div>	jlpt::N5
〜という	〜という	N5	called / named ~	Noun + という + Noun	Introduces a name new to the listener.	という names; と言う quotes speech.	<div class="ex"><div class="jp"><ruby>田中<rt>たなか</rt></ruby>という<ruby>人<rt>ひと</rt></ruby>から<ruby>電話<rt>でんわ</rt></ruby>がありました。</div><div class="en">There was a call from a person called Tanaka.</div></div><div class="ex"><div class="jp">「<ruby>花<rt>はな</rt></ruby>」という<ruby>映画<rt>えいが</rt></ruby>を<ruby>見<rt>み</rt></ruby>ました。</div><div class="en">I watched a film called &quot;Hana&quot;.</div></div><div class="ex"><div class="jp"><ruby>木村<rt>きむら</rt></ruby>さんという<ruby>人<rt>ひと</rt></ruby>からあなたにお<ruby>電話<rt>でんわ</rt></ruby>です。</div><div class="en">A Mr Kimura is calling you.</div></div><div class="ex"><div class="jp"><ruby>木村<rt>きむら</rt></ruby>さんという<ruby>人<rt>ひと</rt></ruby>にパーティーで<ruby>会<rt>あ</rt></ruby>ったよ。</div><div class="en">I met a Mr Kimura at the party.</div></div>	jlpt::N5
〜とき	〜とき	N5	when ~	Plain form / な-adjective な / Noun の + とき	Non-past before とき means the main action happens first; past means it happened before.		<div class="ex"><div class="jp"><ruby>子<rt>こ</rt></ruby>どものとき、よく<ruby>公園<rt>こうえん</rt></ruby>で<ruby>遊<rt>あそ</rt></ruby>びました。</div><div class="en">When I was a child, I often played in the park.</div></div>	jlpt::N5
〜とても	〜とても	N5	very	とても + adjective	Neutral intensifier. あまり with a negative means &quot;not very&quot;.		<div class="ex"><div class="jp">この<ruby>料理<rt>りょうり</rt></ruby>はとてもおいしいです。</div><div class="en">This dish is very delicious.</div></div>	jlpt::N5
〜どうして・なぜ	〜どうして・なぜ	N5	why	どうして / なぜ + clause	Answered with 〜から or 〜ので. なぜ is more formal.		<div class="ex"><div class="jp">どうして<ruby>遅<rt>おく</rt></ruby>れましたか。</div><div class="en">Why were you late?</div></div><div class="ex"><div class="jp">どうしてこの<ruby>仕事<rt>しごと</rt></ruby>を<ruby>辞<rt>や</rt></ruby>めることができよう。</div><div class="en">How can I quit this job?</div></div><div class="ex"><div class="jp">どうしてそれを<ruby>信<rt>しん</rt></ruby>じるようになりましたか。</div><div class="en">How did you come to believe that?</div></div><div class="ex"><div class="jp">どうしてそれを<ruby>耳<rt>みみ</rt></ruby>にするようになったのか。</div><div class="en">How did you come to hear of it?</div></div>	jlpt::N5
〜どこ	〜どこ	N5	where	どこ + に / で / へ	どこか means &quot;somewhere&quot;; どこも with a negative means &quot;nowhere&quot;.		<div class="ex"><div class="jp"><ruby>駅<rt>えき</rt></ruby>はどこですか。</div><div class="en">Where is the station?</div></div>	jlpt::N5
〜どんな	〜どんな	N5	what kind of	どんな + Noun	Always modifies a noun. どう asks &quot;how&quot; about a situation instead.		<div class="ex"><div class="jp">どんな<ruby>音楽<rt>おんがく</rt></ruby>が<ruby>好<rt>す</rt></ruby>きですか。</div><div class="en">What kind of music do you like?</div></div>	jlpt::N5
〜ないで	〜ないで	N5	without ~ing	Verb ない-form + で	Describes doing one thing without doing another: 朝ご飯を食べないで出かけた.		<div class="ex"><div class="jp"><ruby>朝<rt>あさ</rt></ruby>ご<ruby>飯<rt>はん</rt></ruby>を<ruby>食<rt>た</rt></ruby>べないで<ruby>学校<rt>がっこう</rt></ruby>へ<ruby>行<rt>い</rt></ruby>きました。</div><div class="en">I went to school without eating breakfast.</div></div>	jlpt::N5
〜ないでください	〜ないでください	N5	please don&#x27;t ~	Verb ない-form + でください	A polite negative request.		<div class="ex"><div class="jp">ここで<ruby>写真<rt>しゃしん</rt></ruby>を<ruby>撮<rt>と</rt></ruby>らないでください。</div><div class="en">Please don&#x27;t take photos here.</div></div><div class="ex"><div class="jp">この<ruby>雨<rt>あめ</rt></ruby>の<ruby>中<rt>なか</rt></ruby>をおいでにならないでください。</div><div class="en">Don&#x27;t bother coming in this rain.</div></div><div class="ex"><div class="jp"><ruby>心配<rt>しんぱい</rt></ruby>しないでください。<ruby>調<rt>しら</rt></ruby>べてみましょう。</div><div class="en">Don&#x27;t worry. I&#x27;ll look it up for you.</div></div><div class="ex"><div class="jp"><ruby>私<rt>わたし</rt></ruby>にあまり<ruby>多<rt>おお</rt></ruby>くの<ruby>期待<rt>きたい</rt></ruby>をしないでください。</div><div class="en">Don&#x27;t expect too much of me.</div></div>	jlpt::N5
〜ながら	〜ながら	N5	while ~ing (simultaneous)	Verb ます-stem + ながら	Both actions belong to one person; the main action is the second clause.	ながら is two actions at once; まま is a state left unchanged.	<div class="ex"><div class="jp"><ruby>音楽<rt>おんがく</rt></ruby>を<ruby>聞<rt>き</rt></ruby>きながら<ruby>勉強<rt>べんきょう</rt></ruby>します。</div><div class="en">I study while listening to music.</div></div><div class="ex"><div class="jp"><ruby>歩<rt>ある</rt></ruby>きながら<ruby>話<rt>はな</rt></ruby>しましょう。</div><div class="en">Let&#x27;s talk while walking.</div></div>	jlpt::N5
〜なくてもいいです	〜なくてもいいです	N5	don&#x27;t have to ~	Verb ない-stem + なくてもいい(です)	Absence of obligation, as opposed to prohibition.		<div class="ex"><div class="jp"><ruby>明日<rt>あした</rt></ruby>は<ruby>来<rt>こ</rt></ruby>なくてもいいです。</div><div class="en">You don&#x27;t have to come tomorrow.</div></div><div class="ex"><div class="jp"><ruby>売<rt>う</rt></ruby>り<ruby>上<rt>あ</rt></ruby>げを<ruby>伸<rt>の</rt></ruby>ばそうと<ruby>焦<rt>あせ</rt></ruby>らなくてもいい。</div><div class="en">Don&#x27;t worry about making lots of sales.</div></div><div class="ex"><div class="jp"><ruby>行<rt>い</rt></ruby>きたくなければ、<ruby>行<rt>い</rt></ruby>かなくてもいいよ。</div><div class="en">You needn&#x27;t go there if you don&#x27;t want to go.</div></div><div class="ex"><div class="jp">そんなに<ruby>緊張<rt>きんちょう</rt></ruby>しなくてもいいですよ。</div><div class="en">There&#x27;s no need to be that tense.</div></div>	jlpt::N5
〜なければなりません	〜なければなりません	N5	must ~ / have to ~	Verb ない-stem + なければなりません	Obligation. Casual equivalents: 〜なきゃ, 〜ないと.		<div class="ex"><div class="jp"><ruby>薬<rt>くすり</rt></ruby>を<ruby>飲<rt>の</rt></ruby>まなければなりません。</div><div class="en">I have to take my medicine.</div></div><div class="ex"><div class="jp">あなたは<ruby>夕食<rt>ゆうしょく</rt></ruby>を<ruby>作<rt>つく</rt></ruby>らなければなりませんか。</div><div class="en">Do you have to make dinner?</div></div><div class="ex"><div class="jp">お<ruby>年寄<rt>としよ</rt></ruby>りには<ruby>親切<rt>しんせつ</rt></ruby>にしなければなりません。</div><div class="en">You must be kind to old people.</div></div><div class="ex"><div class="jp">このレッスンを<ruby>受<rt>う</rt></ruby>けなければなりませんか。</div><div class="en">Must I take this lesson?</div></div>	jlpt::N5
